Segmento	Produto	Cor	Preco	Gramatura m2
COLCHAO	NW RUSTIC 100	10, 34, 51, 52, 53, 72, 75, 76	15,56	142
COLCHAO	NW RUSTIC 600	22	15,56	140,3
COLCHAO	NW RUSTIC 700	34, 52	15,56	134,7
COLCHAO	PACIFIC NW	54, 57	28,56	277
COLCHAO	POLARIS NW	22	26,02	214,2
COLCHAO	POLARIS NW	52	26,02	214,6
COLCHAO	POLARIS NW	54	26,02	212,6
COLCHAO	PRATIK 100	06, 22, 40, 50, 52, 53, 54, 72, 74	13,43	106
COLCHAO	PRATIK 100 INV	76	13,43	110
COLCHAO	PRATIK 200	06, 22, 40, 50, 52, 53, 54, 72, 74	13,43	120
COLCHAO	PRATIK 200 INV	76	13,43	
COLCHAO	PRATIK 300	06, 22, 40, 50, 52, 53, 54, 72, 74	13,43	124,4
COLCHAO	PRATIK 300 INV	76	13,43	124
COLCHAO	PRATIK 400	06, 22, 40, 50, 52, 53, 54, 72, 74	13,43	112
COLCHAO	PRATIK 400 INV	76	13,43	112
COLCHAO	PRATIK 500	06, 22, 40, 50, 52, 53, 54, 72, 74	13,43	106
COLCHAO	PRATIK 500 INV	76	13,43	106
COLCHAO	RELAX 300	2	18,26	203
COLCHAO	SIRIUS NW	22, 34, 55, 58	17,55	166
COLCHAO	SLIM 100 NW	06, 10, 33, 50, 72, 74	19,34	189
COLCHAO	SLIM 200 NW	06, 10, 33, 50, 72, 74	19,34	191,2
COLCHAO	SLIM 300 NW	06, 10, 33, 50, 72, 74	19,34	191
COLCHAO	SLIM 400 NW	06, 10, 33, 50, 72, 74	19,34	184
COLCHAO	SLIM 500 NW	06, 10, 33, 50, 72, 74	19,34	187
COLCHAO	SLIM 600 NW	06, 10, 33, 50, 72, 74	19,34	187
COLCHAO	SOFT BAMBOO	46	18,04	171,6
COLCHAO	SOFT PLAIN	50	18,04	163,4
COLCHAO	SOFT RARE	46	18,04	147,4
COLCHAO	SOFT SPIRAL	40	18,04	164,4
COLCHAO	SOFT TETRIS	23	18,04	
COLCHAO	SQUARE NW	52, 75	19,14	173
COLCHAO	STRAW NW	09, 11, 34, 51, 52, 53, 71, 72, 73, 74, 75, 77	19,14	186
COLCHAO	TEX FLOWER	74	25,63	291,6
COLCHAO	TEX GARDEN	74	25,63	268
COLCHAO	TEX PLAIN	74	25,63	283
COLCHAO	VELL	01, 13, 20, 41, 51	22,51	184
COLCHAO	VERSATILLE 100	06, 70, 74	13,7	105
COLCHAO	VERSATILLE 100 INV	76	13,7	125,6
COLCHAO	VERSATILLE 200	40, 52, 74	13,7	120
COLCHAO	VERSATILLE 300	06, 40	13,7	112
COLCHAO	VERSATILLE 500	10	13,7	38
COLCHAO	VERSATILLE 500	52, 53, 74	13,7	108
COLCHAO	VERSATILLE 700	06, 52	13,7	114
COLCHAO	VERSATILLE 800	74	13,7	117
COLCHAO	VIEJO	01, 13, 20, 41, 51	22,51	186
COLCHAO	XADREZ CROSS	2	24,2	288,2
COLCHAO	XADREZ CROSS	21	24,2	285,6
COLCHAO	XADREZ JUNIO	20	19,97	207,6
COLCHAO	XADREZ MAZE	72	19,36	167
DECORACAO	ALPHA	02, 09	15,42	196
DECORACAO	ALPHA	14, 25, 35, 43, 52, 54, 55, 56, 58, 60, 70, 72, 73, 75, 76, 77, 79, 80, 81, 82, 84, 87	15,42	196
DECORACAO	ALPHA TOUCH	02, 10, 35, 52, 55, 72	15,41	190
DECORACAO	ARTEMIS	11, 50	14,81	194
DECORACAO	ASGARD	09, 10, 34, 53, 54, 55, 57, 72, 77, 78	11,88	166
DECORACAO	BAGGE	02, 16, 51	24,35	385
DECORACAO	BAGGE MIX PRIME	01, 52	25,45	457
DECORACAO	BAGGE MIX PRIME	72	25,45	452
DECORACAO	BAGGE MIX PRIME	73	25,45	448
DECORACAO	BAGGE PRIME	02, 16, 51, 71, 79	25,45	451
DECORACAO	BETA	02, 35, 52, 53, 55, 56, 58	20,48	264
DECORACAO	BLOCK	02, 55	32,45	305
DECORACAO	BLOCK	59	32,45	309
DECORACAO	BLOCK PRIME	02, 53, 55	27,5	360
DECORACAO	BLOCK PRIME	59	27,5	367
DECORACAO	CAIOBA	2	27,09	333
DECORACAO	CONNECT	10, 23, 35, 51, 52, 55, 57, 72, 74, 76, 84	15,73	184
DECORACAO	CORRIENTE	12, 21, 35, 51, 52, 55, 58, 70, 74, 76, 78, 84	15,13	197
DECORACAO	CORRIENTE TOUCH	02, 34, 35, 39, 51, 52, 55, 58, 70	15,13	190
DECORACAO	DELTA TOUCH	1	16,83	339
DECORACAO	DELTA TOUCH	53	16,83	324
DECORACAO	DELTA TOUCH	54	16,83	322
DECORACAO	DELTA TOUCH	71, 74	16,83	335
DECORACAO	DUE	50, 52, 70, 74	17,32	211
DECORACAO	DUE	54	17,32	26
DECORACAO	ESSENCE PRIME	58, 59, 78, 79	22,61	372
DECORACAO	ESSENCE PRIME	72	22,61	374
DECORACAO	ESTELARIS	55, 74	10,78	177
DECORACAO	ESTELARIS TOUCH	52, 72, 74	10,78	153
DECORACAO	ESTELARIS TOUCH	55	10,78	152
DECORACAO	FOCCUS	10, 21, 24, 50, 70, 73, 74, 76	14,95	250
DECORACAO	FOCCUS PRIME	34, 50	18,15	259
DECORACAO	FOCCUS PRIME	71, 72, 73, 74, 75, 76	18,15	260
DECORACAO	FRESH	2	15,12	197
DECORACAO	FRESH	35, 55	15,12	197
